numpy.einsum_path, 
numpy.emath.arccos, 
numpy.emath.arcsin, 
numpy.emath.arctanh, 
numpy.emath.log, 
numpy.emath.log10, 
numpy.emath.log2, 
numpy.emath.logn, 
numpy.emath.power, 
numpy.emath.sqrt, 
numpy.empty, 29688936,11295609,22392497,25014298,59801341,14689270,58076522,36412762
numpy.empty_like, 
numpy.exceptions.AxisError, 
numpy.exceptions.ComplexWarning, 
numpy.exceptions.DTypePromotionError, 
numpy.exceptions.TooHardError, 
numpy.exceptions.VisibleDeprecationWarning, 
numpy.expand_dims, 
numpy.extract, 7878398,35681054,41500637
numpy.fft.fft, 21362843,47307862,6363154,52387673,28618591,19975030,43001729,36018875,20074930,21161033
numpy.fft.fft2, 21362843
numpy.fft.fftfreq, 
numpy.fft.fftn, 
numpy.fft.fftshift, 
numpy.fft.hfft, 
numpy.fft.ifft, 
numpy.fft.ifft2, 
numpy.fft.ifftn, 
numpy.fft.ifftshift, 
numpy.fft.ihfft, 
numpy.fft.irfft, 
numpy.fft.irfft2, 
numpy.fft.irfftn, 
numpy.fft.rfft, 47307862,52387673,43001729
numpy.fft.rfft2, 43001729
numpy.fft.rfftfreq, 
numpy.fft.rfftn, 
numpy.fill_diagonal, 
numpy.find_common_type, 
numpy.fix, 64229894,48235169,64654805,49902585,25792886
numpy.flatnonzero, 
numpy.flip, 61198658
numpy.fliplr, 
numpy.flipud, 
numpy.format_float_positional, 
numpy.format_float_scientific, 
numpy.from_dlpack, 
numpy.frombuffer, 26302456,43362986,52459277,38410631
numpy.fromfile, 7569563,16071486,15966335
numpy.fromiter, 32997108,14372613,23470582
numpy.fromregex, 
numpy.full, 12956333
numpy.full_like, 
numpy.generic.__array__, 
numpy.generic.__array_wrap__, 
numpy.generic.__reduce__, 
numpy.generic.__setstate__, 
numpy.generic.byteswap, 
numpy.generic.setflags, 
numpy.generic.squeeze, 
numpy.geomspace, 
numpy.get_include, 54117786
numpy.get_printoptions, 
numpy.getbufsize, 
numpy.geterr, 
numpy.geterrcall, 
numpy.geterrobj, 
numpy.gradient, 24633618,17784587,18991408,16078818,31206443,23470582,3986345,18498457,17901363,23419193
numpy.hamming, 32730202
numpy.hanning, 
numpy.histogram, 44003552,27156381,2464871,3610040,21532667,9444409,9141732,15706339
numpy.histogram_bin_edges, 
numpy.histogram2d, 6652671
numpy.histogramdd, 
numpy.hsplit, 
numpy.hstack, 20077146
numpy.i0, 
numpy.identity, 28363447,59801341,10935629
numpy.imag, 
numpy.in1d, 15279849,50779617,38910258
numpy.info, 
numpy.inner, 11033573,17926746
numpy.insert, 18621513,20101093,47125884
numpy.interp, 28802090,32290233,29346292,16568932,13166914,48614440
numpy.intersect1d, 
numpy.is_busday, 
numpy.isclose, 
numpy.iscomplex, 
numpy.iscomplexobj, 
numpy.isfortran, 
numpy.isin, 45045031
numpy.isneginf, 
numpy.isposinf, 
numpy.isreal, 
numpy.isrealobj, 
numpy.isscalar, 
numpy.issctype, 
numpy.issubclass_, 
numpy.issubdtype, 
numpy.issubsctype, 
numpy.iterable, 15075715,16862459,12653120,54273077
numpy.ix_, 
numpy.kaiser, 
numpy.kron, 
numpy.lexsort, 
numpy.lib.Arrayterator, 
numpy.lib.format.open_memmap, 
numpy.lib.format.write_array_header_2_0, 
numpy.lib.mixins.NDArrayOperatorsMixin, 
numpy.lib.NumpyVersion, 
numpy.lib.stride_tricks.as_strided, 8070349,45685772
numpy.lib.stride_tricks.sliding_window_view, 
numpy.linalg.cholesky, 16699163,45450175
numpy.linalg.cond, 
numpy.linalg.det, 
numpy.linalg.eig, 45434989,8092920,65585639,32926861
numpy.linalg.eigh, 45434989,1730600,65585639
numpy.linalg.eigvals, 
numpy.linalg.eigvalsh, 
numpy.linalg.inv, 49605231,31256252,49357417,16114100,35273908
numpy.linalg.LinAlgError, 
numpy.linalg.lstsq, 41648246,2473983,29372559,10154922,34170618,33559946,17836880
numpy.linalg.matrix_power, 
numpy.linalg.matrix_rank, 
numpy.linalg.multi_dot, 
numpy.linalg.norm, 7741878,22027767,46915495
numpy.linalg.pinv, 49357417
numpy.linalg.qr, 
numpy.linalg.slogdet, 
numpy.linalg.solve, 14367331,31256252,6200910,48909600,30203803,15670094,1599754,62099939
numpy.linalg.svd, 44765682,32569188
numpy.linalg.tensorinv, 
numpy.linalg.tensorsolve, 
numpy.linspace, 37964100,16862459,31480033,27028226,32208359,47443037
numpy.load, 44429199,8955448,34540585,12713486,28444272,4315506,8361561,54063285,30329726,21322564,30811918,14985233,23546349,18231135,20245593,39195113,6494102,9964809,6397495,9619199,28439701,50280640,35478526,38316283,22173872,28276244,28953804,27400594,60199316,24143807
numpy.logspace, 31480033,32784047
numpy.lookfor, 
numpy.ma.allclose, 
numpy.ma.allequal, 
numpy.ma.append, 
numpy.ma.apply_along_axis, 
numpy.ma.apply_over_axes, 
numpy.ma.array, 30670947
numpy.ma.asanyarray, 
numpy.ma.asarray, 
numpy.ma.choose, 
numpy.ma.clump_masked, 
numpy.ma.clump_unmasked, 
numpy.ma.common_fill_value, 
numpy.ma.compress_cols, 
numpy.ma.compress_rowcols, 
numpy.ma.compress_rows, 
numpy.ma.compressed, 
numpy.ma.concatenate, 
numpy.ma.count_masked, 
numpy.ma.cov, 
numpy.ma.default_fill_value, 
numpy.ma.diag, 
numpy.ma.dot, 
numpy.ma.ediff1d, 
numpy.ma.expand_dims, 
numpy.ma.filled, 
numpy.ma.fix_invalid, 
numpy.ma.flatnotmasked_contiguous, 
numpy.ma.flatnotmasked_edges, 
numpy.ma.getdata, 
numpy.ma.getmask, 
numpy.ma.getmaskarray, 
numpy.ma.in1d, 
numpy.ma.inner, 
numpy.ma.innerproduct, 
numpy.ma.intersect1d, 
numpy.ma.is_mask, 
numpy.ma.is_masked, 
numpy.ma.isarray, 
numpy.ma.isin, 
numpy.ma.isMA, 
numpy.ma.isMaskedArray, 
numpy.ma.make_mask_descr, 
numpy.ma.make_mask_none, 
numpy.ma.mask_or, 
numpy.ma.mask_rowcols, 
numpy.ma.masked_all_like, 
numpy.ma.masked_equal, 
numpy.ma.masked_greater, 
numpy.ma.masked_greater_equal, 
numpy.ma.masked_inside, 
numpy.ma.masked_invalid, 
numpy.ma.masked_less, 
numpy.ma.masked_less_equal, 
numpy.ma.masked_not_equal, 
numpy.ma.masked_object, 
numpy.ma.masked_outside, 
numpy.ma.masked_values, 
numpy.ma.masked_where, 
numpy.ma.MaskedArray, 
numpy.ma.MaskedArray.anom, 
numpy.ma.MaskedArray.clip, 
numpy.ma.MaskedArray.compressed, 
numpy.ma.MaskedArray.copy, 
numpy.ma.MaskedArray.cumprod, 
numpy.ma.MaskedArray.cumsum, 
numpy.ma.MaskedArray.filled, 
numpy.ma.MaskedArray.flatten, 
numpy.ma.MaskedArray.get_fill_value, 
numpy.ma.MaskedArray.harden_mask, 
numpy.ma.MaskedArray.nonzero, 
numpy.ma.MaskedArray.ptp, 
numpy.ma.MaskedArray.ravel, 
numpy.ma.MaskedArray.reshape, 
numpy.ma.MaskedArray.resize, 
numpy.ma.MaskedArray.round, 
numpy.ma.MaskedArray.set_fill_value, 
numpy.ma.MaskedArray.shrink_mask, 
numpy.ma.MaskedArray.soften_mask, 
numpy.ma.MaskedArray.sort, 
numpy.ma.MaskedArray.squeeze, 
numpy.ma.MaskedArray.swapaxes, 
numpy.ma.MaskedArray.tobytes, 
numpy.ma.MaskedArray.tofile, 
numpy.ma.MaskedArray.tolist, 
numpy.ma.MaskedArray.torecords, 
numpy.ma.MaskedArray.trace, 
numpy.ma.MaskedArray.transpose, 
numpy.ma.MaskedArray.unshare_mask, 
numpy.ma.maximum_fill_value, 
numpy.ma.median, 
numpy.ma.minimum_fill_value, 
numpy.ma.ndenumerate, 
numpy.ma.notmasked_contiguous, 
numpy.ma.notmasked_edges, 
numpy.ma.outer, 
numpy.ma.outerproduct, 
numpy.ma.polyfit, 
numpy.ma.power, 
numpy.ma.reshape, 
numpy.ma.resize, 
numpy.ma.round, 
numpy.ma.set_fill_value, 
numpy.ma.setdiff1d, 
numpy.ma.setxor1d, 
numpy.ma.shape, 
numpy.ma.size, 
numpy.ma.sort, 
numpy.ma.transpose, 
numpy.ma.union1d, 
numpy.ma.unique, 
numpy.ma.vander, 
numpy.mask_indices, 
numpy.mat, 67549023,27681814,34409876,7922487
numpy.matlib.empty, 
numpy.matlib.identity, 
numpy.matlib.ones, 
numpy.matlib.rand, 
numpy.matlib.randn, 
numpy.matlib.repmat, 
numpy.matlib.zeros, 
numpy.maximum_sctype, 
numpy.may_share_memory, 44865261
numpy.median, 17056325,40112487,50899486,58788054,22049140,12372594
numpy.memmap.flush, 
numpy.meshgrid, 30764955,38170188,24436063
numpy.min_scalar_type, 
numpy.mintypecode, 
numpy.moveaxis, 
numpy.nan_to_num, 6701714
numpy.nancumprod, 
numpy.nancumsum, 
numpy.ndarray.__abs__, 
numpy.ndarray.__add__, 
numpy.ndarray.__and__, 
numpy.ndarray.__class_getitem__, 
numpy.ndarray.__complex__, 
numpy.ndarray.__contains__, 
numpy.ndarray.__copy__, 
numpy.ndarray.__deepcopy__, 
numpy.ndarray.__divmod__, 
numpy.ndarray.__eq__, 
numpy.ndarray.__float__, 
numpy.ndarray.__floordiv__, 
numpy.ndarray.__ge__, 
numpy.ndarray.__getitem__, 31282764
numpy.ndarray.__gt__, 
numpy.ndarray.__iadd__, 
numpy.ndarray.__iand__, 
numpy.ndarray.__ifloordiv__, 
numpy.ndarray.__ilshift__, 
numpy.ndarray.__imod__, 
numpy.ndarray.__imul__, 
numpy.ndarray.__int__, 
numpy.ndarray.__ior__, 
numpy.ndarray.__ipow__, 
numpy.ndarray.__irshift__, 
numpy.ndarray.__isub__, 
numpy.ndarray.__itruediv__, 
numpy.ndarray.__ixor__, 
numpy.ndarray.__le__, 
numpy.ndarray.__lshift__, 
numpy.ndarray.__lt__, 
numpy.ndarray.__matmul__, 
numpy.ndarray.__mod__, 
numpy.ndarray.__mul__, 
numpy.ndarray.__ne__, 
numpy.ndarray.__new__, 
numpy.ndarray.__or__, 
numpy.ndarray.__pow__, 
numpy.ndarray.__reduce__, 
numpy.ndarray.__rshift__, 
numpy.ndarray.__setitem__, 
numpy.ndarray.__setstate__, 
numpy.ndarray.__sub__, 
numpy.ndarray.__truediv__, 
numpy.ndarray.__xor__, 
numpy.ndarray.all, 11453141
numpy.ndarray.any, 
numpy.ndarray.argmax, 
numpy.ndarray.argmin, 
numpy.ndarray.argpartition, 
numpy.ndarray.argsort, 
numpy.ndarray.astype, 42628577
numpy.ndarray.byteswap, 
numpy.ndarray.choose, 
numpy.ndarray.clip, 
numpy.ndarray.compress, 
numpy.ndarray.conj, 
numpy.ndarray.copy, 
numpy.ndarray.cumprod, 
numpy.ndarray.cumsum, 
numpy.ndarray.diagonal, 
numpy.ndarray.dump, 
numpy.ndarray.dumps, 
numpy.ndarray.fill, 
numpy.ndarray.flatten, 
numpy.ndarray.getfield, 
numpy.ndarray.item, 
